77EF FE00; FSung-Academic; FS0F3890
77EF FE01; FSung-Academic; FS0F390D
77EF FE02; FSung-Academic; FS0FB0D3
77EF FE03; FSung-Academic; FS0FB0D4
77EF FE04; FSung-Academic; FS0FCCBF
77EF FE05; FSung-Academic; FS100E99
77EF FE06; FSung-Academic; FS100E9A
77EF FE07; FSung-Academic; FS100E9B
77EF FE08; FSung-Academic; FS100E9C
77EF FE09; FSung-Academic; FS100E9D
77EF FE0A; FSung-Academic; FS100E9E
