50B7 FE00; FSung-Academic; FS0F1B18
50B7 FE01; FSung-Academic; FS0F6124
50B7 FE02; FSung-Academic; FS0F692A
50B7 FE03; FSung-Academic; FS0F69C8
50B7 FE04; FSung-Academic; FS0F69CC
50B7 FE05; FSung-Academic; FS0F69CD
50B7 FE06; FSung-Academic; FS0F69CF
50B7 FE07; FSung-Academic; FS0F69D0
50B7 FE08; FSung-Academic; FS0F6D2F
50B7 FE09; FSung-Academic; FS0F6D3E
50B7 FE0A; FSung-Academic; FS0F6D5D
50B7 FE0B; FSung-Academic; FS0F6D61
