52D9 FE00; FSung-Academic; FS0F09BF
52D9 FE01; FSung-Academic; FS0F54FE
52D9 FE02; FSung-Academic; FS0F5500
52D9 FE03; FSung-Academic; FS0F5501
52D9 FE04; FSung-Academic; FS0F5502
52D9 FE05; FSung-Academic; FS0F5503
52D9 FE06; FSung-Academic; FS0F5504
52D9 FE07; FSung-Academic; FS0F5505
52D9 FE08; FSung-Academic; FS0F5506
52D9 FE09; FSung-Academic; FS0F5507
52D9 FE0A; FSung-Academic; FS0FD2F9
52D9 FE0B; FSung-Academic; FS10397A
