64B2 FE00; FSung-Academic; FS0F3013
64B2 FE01; FSung-Academic; FS0FF1A5
64B2 FE02; FSung-Academic; FS100174
64B2 FE03; FSung-Academic; FS100175
64B2 FE04; FSung-Academic; FS100176
64B2 FE05; FSung-Academic; FS100177
64B2 FE06; FSung-Academic; FS100178
64B2 FE07; FSung-Academic; FS100179
64B2 FE08; FSung-Academic; FS10017A
64B2 FE09; FSung-Academic; FS10017B
