8073 FE00; FSung-Academic; FS0F3F20 # Term: FS0F3F20
8073 FE01; FSung-Academic; FS0FD393 # Term: FS0FD393
8073 FE02; FSung-Academic; FS0FD3A7 # Term: FS0FD3A7
8073 FE03; FSung-Academic; FS1014C3 # Term: FS1014C3
8073 FE04; FSung-Academic; FS1014C4 # Term: FS1014C4
8073 FE05; FSung-Academic; FS1014C5 # Term: FS1014C5
8073 FE06; FSung-Academic; FS1014C6 # Term: FS1014C6
8073 FE07; FSung-Academic; FS1014C7 # Term: FS1014C7
8073 FE08; FSung-Academic; FS1014C8 # Term: FS1014C8
