7F85 FE00; FSung-Academic; FS0FBA68
7F85 FE01; FSung-Academic; FS0FBA69
7F85 FE02; FSung-Academic; FS0FCBA7
7F85 FE03; FSung-Academic; FS10137A
7F85 FE04; FSung-Academic; FS10137B
7F85 FE05; FSung-Academic; FS10137C
7F85 FE06; FSung-Academic; FS10137D
7F85 FE07; FSung-Academic; FS10137E
7F85 FE08; FSung-Academic; FS10137F
