6700 FE00; FSung-Academic; FS0F07D9
6700 FE01; FSung-Academic; FS0F07DA
6700 FE02; FSung-Academic; FS0F4902
6700 FE03; FSung-Academic; FS0F4939
6700 FE04; FSung-Academic; FS0F5409
6700 FE05; FSung-Academic; FS0F540D
6700 FE06; FSung-Academic; FS0F540E
6700 FE07; FSung-Academic; FS0F540F
6700 FE08; FSung-Academic; FS0F5410
6700 FE09; FSung-Academic; FS0F5411
6700 FE0A; FSung-Academic; FS0F89F7
6700 FE0B; FSung-Academic; FS0FBA1B
6700 FE0C; FSung-Academic; FS0FCBF0
