4FB5 FE00; FSung-Academic; FS0F68AF
4FB5 FE01; FSung-Academic; FS0F68B0
4FB5 FE02; FSung-Academic; FS0F68B2
4FB5 FE03; FSung-Academic; FS0F68B3
4FB5 FE04; FSung-Academic; FS0F68B4
4FB5 FE05; FSung-Academic; FS0F68B5
4FB5 FE06; FSung-Academic; FS0F68B6
4FB5 FE07; FSung-Academic; FS0F68B7
4FB5 FE08; FSung-Academic; FS0F68B8
4FB5 FE09; FSung-Academic; FS0F6D45
