52E0 FE00; FSung-Academic; FS0F4C19
52E0 FE01; FSung-Academic; FS0FDAE8
52E0 FE02; FSung-Academic; FS100018
52E0 FE03; FSung-Academic; FS103936
52E0 FE04; FSung-Academic; FS105924
52E0 FE05; FSung-Academic; FS105925
52E0 FE06; FSung-Academic; FS105926
52E0 FE07; FSung-Academic; FS105927
52E0 FE08; FSung-Academic; FS105928
52E0 FE09; FSung-Academic; FS105929
