8B1B FE00; FSung-Academic; FS0F25A2
8B1B FE01; FSung-Academic; FS0F5D8B
8B1B FE02; FSung-Academic; FS0FE358
8B1B FE03; FSung-Academic; FS0FE376
8B1B FE04; FSung-Academic; FS0FE386
8B1B FE05; FSung-Academic; FS101CB7
8B1B FE06; FSung-Academic; FS101CB8
8B1B FE07; FSung-Academic; FS101CB9
8B1B FE08; FSung-Academic; FS101CBA
8B1B FE09; FSung-Academic; FS101CBB
8B1B FE0A; FSung-Academic; FS101CBC
