9187 FE00; FSung-Academic; FS0F6BA0 # Term: FS0F6BA0
9187 FE01; FSung-Academic; FS0FDEB3 # Term: FS0FDEB3
9187 FE02; FSung-Academic; FS0FDED6 # Term: FS0FDED6
9187 FE03; FSung-Academic; FS0FDEF6 # Term: FS0FDEF6
9187 FE04; FSung-Academic; FS10218A # Term: FS10218A
9187 FE05; FSung-Academic; FS10218B # Term: FS10218B
9187 FE06; FSung-Academic; FS10218C # Term: FS10218C
9187 FE07; FSung-Academic; FS10218D # Term: FS10218D
9187 FE08; FSung-Academic; FS10218E # Term: FS10218E
