52D2 FE00; FSung-Academic; FS0F2961
52D2 FE01; FSung-Academic; FS0F2962
52D2 FE02; FSung-Academic; FS0F2974
52D2 FE03; FSung-Academic; FS0F2983
52D2 FE04; FSung-Academic; FS0F54F9
52D2 FE05; FSung-Academic; FS0F54FA
52D2 FE06; FSung-Academic; FS0F54FB
52D2 FE07; FSung-Academic; FS0F54FC
52D2 FE08; FSung-Academic; FS0F54FD
