5BB9 FE00; FSung-Academic; FS0F3AAF
5BB9 FE01; FSung-Academic; FS0F3F22
5BB9 FE02; FSung-Academic; FS0F487C
5BB9 FE03; FSung-Academic; FS0F48BA
5BB9 FE04; FSung-Academic; FS0F48E5
5BB9 FE05; FSung-Academic; FS0F6AF2
5BB9 FE06; FSung-Academic; FS0F6AF4
5BB9 FE07; FSung-Academic; FS0F6AF6
5BB9 FE08; FSung-Academic; FS0FD0A0
