547C FE00; FSung-Academic; FS0F3678
547C FE01; FSung-Academic; FS0F3679
547C FE02; FSung-Academic; FS0F36C0
547C FE03; FSung-Academic; FS0F36C1
547C FE04; FSung-Academic; FS0F3710
547C FE05; FSung-Academic; FS0F5642
547C FE06; FSung-Academic; FS0F5643
547C FE07; FSung-Academic; FS0F5644
547C FE08; FSung-Academic; FS0F5645
547C FE09; FSung-Academic; FS0F5646
547C FE0A; FSung-Academic; FS0F5647
547C FE0B; FSung-Academic; FS0FC031
