655D FE00; FSung-Academic; FS0F35D5 # Term: FS0F35D5
655D FE01; FSung-Academic; FS0FB73F # Term: FS0FB73F
655D FE02; FSung-Academic; FS0FBC1F # Term: FS0FBC1F
655D FE03; FSung-Academic; FS0FBC3B # Term: FS0FBC3B
655D FE04; FSung-Academic; FS0FEEC3 # Term: FS0FEEC3
655D FE05; FSung-Academic; FS100250 # Term: FS100250
655D FE06; FSung-Academic; FS100251 # Term: FS100251
655D FE07; FSung-Academic; FS100252 # Term: FS100252
655D FE08; FSung-Academic; FS103A22 # Term: FS103A22
