6BAF FE00; FSung-Academic; FS0F2DC6 # Term: FS0F2DC6
6BAF FE01; FSung-Academic; FS0F2DE6 # Term: FS0F2DE6
6BAF FE02; FSung-Academic; FS0FB4AA # Term: FS0FB4AA
6BAF FE03; FSung-Academic; FS0FB4DD # Term: FS0FB4DD
6BAF FE04; FSung-Academic; FS0FB4E2 # Term: FS0FB4E2
6BAF FE05; FSung-Academic; FS0FC8F5 # Term: FS0FC8F5
6BAF FE06; FSung-Academic; FS10070D # Term: FS10070D
6BAF FE07; FSung-Academic; FS10070E # Term: FS10070E
6BAF FE08; FSung-Academic; FS10070F # Term: FS10070F
