6D2A FE00; FSung-Academic; FS0F249F # Term: FS0F249F
6D2A FE01; FSung-Academic; FS0F45FF # Term: FS0F45FF
6D2A FE02; FSung-Academic; FS0F6A6E # Term: FS0F6A6E
6D2A FE03; FSung-Academic; FS0F6C80 # Term: FS0F6C80
6D2A FE04; FSung-Academic; FS0F6C81 # Term: FS0F6C81
6D2A FE05; FSung-Academic; FS0F6CAD # Term: FS0F6CAD
6D2A FE06; FSung-Academic; FS1007D4 # Term: FS1007D4
6D2A FE07; FSung-Academic; FS1007D5 # Term: FS1007D5
6D2A FE08; FSung-Academic; FS1007D6 # Term: FS1007D6
