7252 FE00; FSung-Academic; FS0FB28E
7252 FE01; FSung-Academic; FS0FBCC9
7252 FE02; FSung-Academic; FS0FBCED
7252 FE03; FSung-Academic; FS100B0C
7252 FE04; FSung-Academic; FS100B0D
7252 FE05; FSung-Academic; FS100B0E
7252 FE06; FSung-Academic; FS100B0F
7252 FE07; FSung-Academic; FS100B10
7252 FE08; FSung-Academic; FS100B11
