8F9C FE00; FSung-Academic; FS0F0C62 # Term: FS0F0C62
8F9C FE01; FSung-Academic; FS0F0FFA # Term: FS0F0FFA
8F9C FE02; FSung-Academic; FS0F16C0 # Term: FS0F16C0
8F9C FE03; FSung-Academic; FS0F16E1 # Term: FS0F16E1
8F9C FE04; FSung-Academic; FS0F16F9 # Term: FS0F16F9
8F9C FE05; FSung-Academic; FS0FD924 # Term: FS0FD924
8F9C FE06; FSung-Academic; FS101F73 # Term: FS101F73
8F9C FE07; FSung-Academic; FS101F74 # Term: FS101F74
8F9C FE08; FSung-Academic; FS101F75 # Term: FS101F75
