86A4 FE00; FSung-Academic; FS0FD503 # Term: FS0FD503
86A4 FE01; FSung-Academic; FS0FD517 # Term: FS0FD517
86A4 FE02; FSung-Academic; FS1019FC # Term: FS1019FC
86A4 FE03; FSung-Academic; FS1019FD # Term: FS1019FD
86A4 FE04; FSung-Academic; FS1019FE # Term: FS1019FE
86A4 FE05; FSung-Academic; FS1019FF # Term: FS1019FF
86A4 FE06; FSung-Academic; FS101A00 # Term: FS101A00
86A4 FE07; FSung-Academic; FS101A01 # Term: FS101A01
86A4 FE08; FSung-Academic; FS101A02 # Term: FS101A02
