5C08 FE00; FSung-Academic; FS0F0532 # Term: FS0F0532
5C08 FE01; FSung-Academic; FS0F2AA8 # Term: FS0F2AA8
5C08 FE02; FSung-Academic; FS0F3488 # Term: FS0F3488
5C08 FE03; FSung-Academic; FS0F3B2C # Term: FS0F3B2C
5C08 FE04; FSung-Academic; FS0F3B98 # Term: FS0F3B98
5C08 FE05; FSung-Academic; FS0F3BD8 # Term: FS0F3BD8
5C08 FE06; FSung-Academic; FS0F3BF7 # Term: FS0F3BF7
5C08 FE07; FSung-Academic; FS0F8E70 # Term: FS0F8E70
5C08 FE08; FSung-Academic; FS0F8EA8 # Term: FS0F8EA8
