53B2 FE00; FSung-Academic; FS0F17AA
53B2 FE01; FSung-Academic; FS0F42BB
53B2 FE02; FSung-Academic; FS0F4307
53B2 FE03; FSung-Academic; FS0F55C6
53B2 FE04; FSung-Academic; FS0F55C7
53B2 FE05; FSung-Academic; FS0F55C8
53B2 FE06; FSung-Academic; FS0F55C9
53B2 FE07; FSung-Academic; FS0F55CA
53B2 FE08; FSung-Academic; FS0F55CB
53B2 FE09; FSung-Academic; FS0F55CC
53B2 FE0A; FSung-Academic; FS0FF2CC
