53D4 FE00; FSung-Academic; FS0F055E
53D4 FE01; FSung-Academic; FS0F183E
53D4 FE02; FSung-Academic; FS0F55E5
53D4 FE03; FSung-Academic; FS0F55E6
53D4 FE04; FSung-Academic; FS0F55E7
53D4 FE05; FSung-Academic; FS0F55E8
53D4 FE06; FSung-Academic; FS0F55E9
53D4 FE07; FSung-Academic; FS0F55EA
53D4 FE08; FSung-Academic; FS0F55EB
53D4 FE09; FSung-Academic; FS0F55EC
53D4 FE0A; FSung-Academic; FS0F92E0
53D4 FE0B; FSung-Academic; FS0FEF99
