9087 FE00; FSung-Academic; FS0F2B2F # Term: FS0F2B2F
9087 FE01; FSung-Academic; FS0FF346 # Term: FS0FF346
9087 FE02; FSung-Academic; FS0FF365 # Term: FS0FF365
9087 FE03; FSung-Academic; FS1020E3 # Term: FS1020E3
9087 FE04; FSung-Academic; FS1020E4 # Term: FS1020E4
9087 FE05; FSung-Academic; FS1020E5 # Term: FS1020E5
9087 FE06; FSung-Academic; FS1020E6 # Term: FS1020E6
9087 FE07; FSung-Academic; FS1020E7 # Term: FS1020E7
9087 FE08; FSung-Academic; FS1020E8 # Term: FS1020E8
