8E59 FE00; FSung-Academic; FS0F1C79 # Term: FS0F1C79
8E59 FE01; FSung-Academic; FS0F1CB5 # Term: FS0F1CB5
8E59 FE02; FSung-Academic; FS0FE15D # Term: FS0FE15D
8E59 FE03; FSung-Academic; FS101EC9 # Term: FS101EC9
8E59 FE04; FSung-Academic; FS101ECA # Term: FS101ECA
8E59 FE05; FSung-Academic; FS101ECB # Term: FS101ECB
8E59 FE06; FSung-Academic; FS101ECC # Term: FS101ECC
8E59 FE07; FSung-Academic; FS101ECD # Term: FS101ECD
8E59 FE08; FSung-Academic; FS101ECE # Term: FS101ECE
