96DB FE00; FSung-Academic; FS0F52E1 # Term: FS0F52E1
96DB FE01; FSung-Academic; FS0FE66B # Term: FS0FE66B
96DB FE02; FSung-Academic; FS0FE68D # Term: FS0FE68D
96DB FE03; FSung-Academic; FS0FE694 # Term: FS0FE694
96DB FE04; FSung-Academic; FS0FFA41 # Term: FS0FFA41
96DB FE05; FSung-Academic; FS1023EC # Term: FS1023EC
96DB FE06; FSung-Academic; FS1023ED # Term: FS1023ED
96DB FE07; FSung-Academic; FS1023EE # Term: FS1023EE
96DB FE08; FSung-Academic; FS1023EF # Term: FS1023EF
