6E34 FE00; FSung-Academic; FS0F1365 # Term: FS0F1365
6E34 FE01; FSung-Academic; FS0F24B0 # Term: FS0F24B0
6E34 FE02; FSung-Academic; FS0F24C2 # Term: FS0F24C2
6E34 FE03; FSung-Academic; FS0F6C6C # Term: FS0F6C6C
6E34 FE04; FSung-Academic; FS0F6C9C # Term: FS0F6C9C
6E34 FE05; FSung-Academic; FS0F6CD4 # Term: FS0F6CD4
6E34 FE06; FSung-Academic; FS0F9E7D # Term: FS0F9E7D
6E34 FE07; FSung-Academic; FS100837 # Term: FS100837
6E34 FE08; FSung-Academic; FS100838 # Term: FS100838
