8B28 FE00; FSung-Academic; FS0FE3AD
8B28 FE01; FSung-Academic; FS0FE3BA
8B28 FE02; FSung-Academic; FS0FE3FF
8B28 FE03; FSung-Academic; FS101CC4
8B28 FE04; FSung-Academic; FS101CC5
8B28 FE05; FSung-Academic; FS101CC6
8B28 FE06; FSung-Academic; FS101CC7
8B28 FE07; FSung-Academic; FS101CC8
8B28 FE08; FSung-Academic; FS101CC9
