7FB6 FE00; FSung-Academic; FS0FD95C
7FB6 FE01; FSung-Academic; FS0FD966
7FB6 FE02; FSung-Academic; FS0FD967
7FB6 FE03; FSung-Academic; FS0FD96A
7FB6 FE04; FSung-Academic; FS0FD96D
7FB6 FE05; FSung-Academic; FS1013CE
7FB6 FE06; FSung-Academic; FS1013CF
7FB6 FE07; FSung-Academic; FS1013D0
7FB6 FE08; FSung-Academic; FS1013D1
7FB6 FE09; FSung-Academic; FS1013D2
7FB6 FE0A; FSung-Academic; FS1013D3
7FB6 FE0B; FSung-Academic; FS1013D4
7FB6 FE0C; FSung-Academic; FS1013D5
