5BD2 FE00; FSung-Academic; FS0F06E4
5BD2 FE01; FSung-Academic; FS0F487E
5BD2 FE02; FSung-Academic; FS0F4896
5BD2 FE03; FSung-Academic; FS0F4A0E
5BD2 FE04; FSung-Academic; FS0F6B3A
5BD2 FE05; FSung-Academic; FS0F6B3C
5BD2 FE06; FSung-Academic; FS0F6B3D
5BD2 FE07; FSung-Academic; FS0F6B41
5BD2 FE08; FSung-Academic; FS0F6B44
