78D0 FE00; FSung-Academic; FS0FBF03 # Term: FS0FBF03
78D0 FE01; FSung-Academic; FS0FC7EF # Term: FS0FC7EF
78D0 FE02; FSung-Academic; FS100ECD # Term: FS100ECD
78D0 FE03; FSung-Academic; FS100ECE # Term: FS100ECE
78D0 FE04; FSung-Academic; FS100ECF # Term: FS100ECF
78D0 FE05; FSung-Academic; FS100ED0 # Term: FS100ED0
78D0 FE06; FSung-Academic; FS100ED1 # Term: FS100ED1
78D0 FE07; FSung-Academic; FS100ED2 # Term: FS100ED2
78D0 FE08; FSung-Academic; FS100ED3 # Term: FS100ED3
