57FA FE00; FSung-Academic; FS0F0551
57FA FE01; FSung-Academic; FS0F2BA8
57FA FE02; FSung-Academic; FS0F5F27
57FA FE03; FSung-Academic; FS0F5F29
57FA FE04; FSung-Academic; FS0F5F2A
57FA FE05; FSung-Academic; FS0F5F2C
57FA FE06; FSung-Academic; FS0F5F2D
57FA FE07; FSung-Academic; FS0F5F2E
57FA FE08; FSung-Academic; FS0F5F2F
