79BD FE00; FSung-Academic; FS0F05FE
79BD FE01; FSung-Academic; FS0F1F06
79BD FE02; FSung-Academic; FS0F1F2C
79BD FE03; FSung-Academic; FS0F1FB0
79BD FE04; FSung-Academic; FS0F50B3
79BD FE05; FSung-Academic; FS100F9F
79BD FE06; FSung-Academic; FS100FA0
79BD FE07; FSung-Academic; FS100FA1
79BD FE08; FSung-Academic; FS100FA2
79BD FE09; FSung-Academic; FS100FA3
