58B3 FE00; FSung-Academic; FS0F2CEE # Term: FS0F2CEE
58B3 FE01; FSung-Academic; FS0F2D24 # Term: FS0F2D24
58B3 FE02; FSung-Academic; FS0F2DA5 # Term: FS0F2DA5
58B3 FE03; FSung-Academic; FS0F2E08 # Term: FS0F2E08
58B3 FE04; FSung-Academic; FS0F3CD7 # Term: FS0F3CD7
58B3 FE05; FSung-Academic; FS0F5FE6 # Term: FS0F5FE6
58B3 FE06; FSung-Academic; FS0F5FE7 # Term: FS0F5FE7
58B3 FE07; FSung-Academic; FS0F5FE8 # Term: FS0F5FE8
58B3 FE08; FSung-Academic; FS0F5FEC # Term: FS0F5FEC
