8EA1 FE00; FSung-Academic; FS0F3A84
8EA1 FE01; FSung-Academic; FS0FD384
8EA1 FE02; FSung-Academic; FS101EEF
8EA1 FE03; FSung-Academic; FS101EF0
8EA1 FE04; FSung-Academic; FS101EF1
8EA1 FE05; FSung-Academic; FS101EF2
8EA1 FE06; FSung-Academic; FS101EF3
8EA1 FE07; FSung-Academic; FS101EF4
8EA1 FE08; FSung-Academic; FS101EF5
8EA1 FE09; FSung-Academic; FS101EF6
8EA1 FE0A; FSung-Academic; FS101EF7
8EA1 FE0B; FSung-Academic; FS101EF8
