523B FE00; FSung-Academic; FS0F1833
523B FE01; FSung-Academic; FS0F184C
523B FE02; FSung-Academic; FS0F1877
523B FE03; FSung-Academic; FS0F1878
523B FE04; FSung-Academic; FS0F189D
523B FE05; FSung-Academic; FS0F5479
523B FE06; FSung-Academic; FS0F547A
523B FE07; FSung-Academic; FS0F547B
523B FE08; FSung-Academic; FS0F547C
523B FE09; FSung-Academic; FS0F547D
523B FE0A; FSung-Academic; FS0F547E
523B FE0B; FSung-Academic; FS0FEEE4
523B FE0C; FSung-Academic; FS10395B
