98FE FE00; FSung-Academic; FS0FEADD # Term: FS0FEADD
98FE FE01; FSung-Academic; FS0FEAF8 # Term: FS0FEAF8
98FE FE02; FSung-Academic; FS0FEB00 # Term: FS0FEB00
98FE FE03; FSung-Academic; FS1025EE # Term: FS1025EE
98FE FE04; FSung-Academic; FS1025EF # Term: FS1025EF
98FE FE05; FSung-Academic; FS1025F0 # Term: FS1025F0
98FE FE06; FSung-Academic; FS1025F1 # Term: FS1025F1
98FE FE07; FSung-Academic; FS1025F2 # Term: FS1025F2
98FE FE08; FSung-Academic; FS1025F3 # Term: FS1025F3
