5E2D FE00; FSung-Academic; FS0F0A67
5E2D FE01; FSung-Academic; FS0F4200
5E2D FE02; FSung-Academic; FS0F423F
5E2D FE03; FSung-Academic; FS0F4263
5E2D FE04; FSung-Academic; FS0F4285
5E2D FE05; FSung-Academic; FS0FCFCB
5E2D FE06; FSung-Academic; FS0FFC16
5E2D FE07; FSung-Academic; FS0FFC17
5E2D FE08; FSung-Academic; FS0FFC18
5E2D FE09; FSung-Academic; FS0FFC19
5E2D FE0A; FSung-Academic; FS0FFC1A
5E2D FE0B; FSung-Academic; FS0FFC1B
5E2D FE0C; FSung-Academic; FS0FFC1C
