78EC FE00; FSung-Academic; FS0F962F # Term: FS0F962F
78EC FE01; FSung-Academic; FS0FC0EF # Term: FS0FC0EF
78EC FE02; FSung-Academic; FS100ED6 # Term: FS100ED6
78EC FE03; FSung-Academic; FS100ED8 # Term: FS100ED8
78EC FE04; FSung-Academic; FS100ED9 # Term: FS100ED9
78EC FE05; FSung-Academic; FS100EDB # Term: FS100EDB
78EC FE06; FSung-Academic; FS100EDC # Term: FS100EDC
78EC FE07; FSung-Academic; FS100EDD # Term: FS100EDD
78EC FE08; FSung-Academic; FS100EDE # Term: FS100EDE
