80E5 FE00; FSung-Academic; FS0F08C8
80E5 FE01; FSung-Academic; FS0F36CB
80E5 FE02; FSung-Academic; FS0F36D1
80E5 FE03; FSung-Academic; FS0F3755
80E5 FE04; FSung-Academic; FS0FBE27
80E5 FE05; FSung-Academic; FS0FCAB7
80E5 FE06; FSung-Academic; FS0FCACE
80E5 FE07; FSung-Academic; FS101535
80E5 FE08; FSung-Academic; FS101536
80E5 FE09; FSung-Academic; FS101537
