5F08 FE00; FSung-Academic; FS0F2203
5F08 FE01; FSung-Academic; FS0F2223
5F08 FE02; FSung-Academic; FS0F2826
5F08 FE03; FSung-Academic; FS0F2870
5F08 FE04; FSung-Academic; FS0FEF9A
5F08 FE05; FSung-Academic; FS0FEF9E
5F08 FE06; FSung-Academic; FS0FFCF6
5F08 FE07; FSung-Academic; FS0FFCF7
5F08 FE08; FSung-Academic; FS0FFCF9
5F08 FE09; FSung-Academic; FS0FFCFA
5F08 FE0A; FSung-Academic; FS0FFCFB
