8B70 FE00; FSung-Academic; FS0FE2AC
8B70 FE01; FSung-Academic; FS0FE416
8B70 FE02; FSung-Academic; FS0FE488
8B70 FE03; FSung-Academic; FS101CE8
8B70 FE04; FSung-Academic; FS101CE9
8B70 FE05; FSung-Academic; FS101CEA
8B70 FE06; FSung-Academic; FS101CEB
8B70 FE07; FSung-Academic; FS101CEC
8B70 FE08; FSung-Academic; FS101CED
8B70 FE09; FSung-Academic; FS101CEE
8B70 FE0A; FSung-Academic; FS101CEF
8B70 FE0B; FSung-Academic; FS101CF0
