5F79 FE00; FSung-Academic; FS0F1A1B # Term: FS0F1A1B
5F79 FE01; FSung-Academic; FS0F1A1D # Term: FS0F1A1D
5F79 FE02; FSung-Academic; FS0F1A7F # Term: FS0F1A7F
5F79 FE03; FSung-Academic; FS0F3E9C # Term: FS0F3E9C
5F79 FE04; FSung-Academic; FS0FFD7C # Term: FS0FFD7C
5F79 FE05; FSung-Academic; FS0FFD7D # Term: FS0FFD7D
5F79 FE06; FSung-Academic; FS0FFD7E # Term: FS0FFD7E
5F79 FE07; FSung-Academic; FS0FFD7F # Term: FS0FFD7F
5F79 FE08; FSung-Academic; FS0FFD80 # Term: FS0FFD80
