5BA4 FE00; FSung-Academic; FS0F09AD
5BA4 FE01; FSung-Academic; FS0F48A6
5BA4 FE02; FSung-Academic; FS0F48A9
5BA4 FE03; FSung-Academic; FS0F48AA
5BA4 FE04; FSung-Academic; FS0F48AC
5BA4 FE05; FSung-Academic; FS0F48D1
5BA4 FE06; FSung-Academic; FS0F49CA
5BA4 FE07; FSung-Academic; FS0F6AE2
5BA4 FE08; FSung-Academic; FS0F6AE3
5BA4 FE09; FSung-Academic; FS0FF31E
