662F FE00; FSung-Academic; FS0F1428
662F FE01; FSung-Academic; FS0FB7C6
662F FE02; FSung-Academic; FS0FB7C7
662F FE03; FSung-Academic; FS0FB822
662F FE04; FSung-Academic; FS1003AD
662F FE05; FSung-Academic; FS1003AF
662F FE06; FSung-Academic; FS1003B0
662F FE07; FSung-Academic; FS1003B1
662F FE08; FSung-Academic; FS1003B2
662F FE09; FSung-Academic; FS1003B3
662F FE0A; FSung-Academic; FS1003B4
662F FE0B; FSung-Academic; FS1003B5
