8058 FE00; FSung-Academic; FS0FD375 # Term: FS0FD375
8058 FE01; FSung-Academic; FS0FE1AF # Term: FS0FE1AF
8058 FE02; FSung-Academic; FS10147F # Term: FS10147F
8058 FE03; FSung-Academic; FS101480 # Term: FS101480
8058 FE04; FSung-Academic; FS101481 # Term: FS101481
8058 FE05; FSung-Academic; FS101482 # Term: FS101482
8058 FE06; FSung-Academic; FS101483 # Term: FS101483
8058 FE07; FSung-Academic; FS101484 # Term: FS101484
8058 FE08; FSung-Academic; FS101486 # Term: FS101486
