77E9 FE00; FSung-Academic; FS0F1502
77E9 FE01; FSung-Academic; FS0F1503
77E9 FE02; FSung-Academic; FS0F6B49
77E9 FE03; FSung-Academic; FS0FB0C4
77E9 FE04; FSung-Academic; FS0FB0C8
77E9 FE05; FSung-Academic; FS0FB1E3
77E9 FE06; FSung-Academic; FS100E8F
77E9 FE07; FSung-Academic; FS100E90
77E9 FE08; FSung-Academic; FS100E91
77E9 FE09; FSung-Academic; FS100E92
77E9 FE0A; FSung-Academic; FS100E93
77E9 FE0B; FSung-Academic; FS100E94
77E9 FE0C; FSung-Academic; FS100E95
