7136 FE00; FSung-Academic; FS0F6AAB
7136 FE01; FSung-Academic; FS0FB43B
7136 FE02; FSung-Academic; FS0FC347
7136 FE03; FSung-Academic; FS0FC349
7136 FE04; FSung-Academic; FS0FC373
7136 FE05; FSung-Academic; FS0FC375
7136 FE06; FSung-Academic; FS0FC376
7136 FE07; FSung-Academic; FS1009D6
7136 FE08; FSung-Academic; FS1009D7
7136 FE09; FSung-Academic; FS1009D8
7136 FE0A; FSung-Academic; FS1009D9
7136 FE0B; FSung-Academic; FS1009DA
7136 FE0C; FSung-Academic; FS1009DB
