65C3 FE00; FSung-Academic; FS0F0904
65C3 FE01; FSung-Academic; FS0F0FDE
65C3 FE02; FSung-Academic; FS0FC168
65C3 FE03; FSung-Academic; FS0FC17C
65C3 FE04; FSung-Academic; FS0FC18F
65C3 FE05; FSung-Academic; FS0FC190
65C3 FE06; FSung-Academic; FS102D45
65C3 FE07; FSung-Academic; FS102D47
65C3 FE08; FSung-Academic; FS102D48
