5BDF FE00; FSung-Academic; FS0F4987 # Term: FS0F4987
5BDF FE01; FSung-Academic; FS0F49A6 # Term: FS0F49A6
5BDF FE02; FSung-Academic; FS0F6BD0 # Term: FS0F6BD0
5BDF FE03; FSung-Academic; FS0F6BD2 # Term: FS0F6BD2
5BDF FE04; FSung-Academic; FS0F6BD3 # Term: FS0F6BD3
5BDF FE05; FSung-Academic; FS0F6BD6 # Term: FS0F6BD6
5BDF FE06; FSung-Academic; FS0F6BD7 # Term: FS0F6BD7
5BDF FE07; FSung-Academic; FS0F6BD8 # Term: FS0F6BD8
5BDF FE08; FSung-Academic; FS0F6BDA # Term: FS0F6BDA
