76DB FE00; FSung-Academic; FS0F6B2D
76DB FE01; FSung-Academic; FS0FB52B
76DB FE02; FSung-Academic; FS0FB583
76DB FE03; FSung-Academic; FS0FCBEF
76DB FE04; FSung-Academic; FS100DC9
76DB FE05; FSung-Academic; FS100DCA
76DB FE06; FSung-Academic; FS100DCB
76DB FE07; FSung-Academic; FS100DCC
76DB FE08; FSung-Academic; FS100DCD
76DB FE09; FSung-Academic; FS100DCE
76DB FE0A; FSung-Academic; FS100DCF
