81BA FE00; FSung-Academic; FS0F4332 # Term: FS0F4332
81BA FE01; FSung-Academic; FS0F4356 # Term: FS0F4356
81BA FE02; FSung-Academic; FS0F527C # Term: FS0F527C
81BA FE03; FSung-Academic; FS1015C1 # Term: FS1015C1
81BA FE04; FSung-Academic; FS1015C2 # Term: FS1015C2
81BA FE05; FSung-Academic; FS1015C3 # Term: FS1015C3
81BA FE06; FSung-Academic; FS1015C4 # Term: FS1015C4
81BA FE07; FSung-Academic; FS1015C5 # Term: FS1015C5
81BA FE08; FSung-Academic; FS1015C6 # Term: FS1015C6
