5F04 FE00; FSung-Academic; FS0F14A1
5F04 FE01; FSung-Academic; FS0F15FE
5F04 FE02; FSung-Academic; FS0F1612
5F04 FE03; FSung-Academic; FS0F2F05
5F04 FE04; FSung-Academic; FS0F3E63
5F04 FE05; FSung-Academic; FS0FC711
5F04 FE06; FSung-Academic; FS0FC714
5F04 FE07; FSung-Academic; FS0FEF4D
5F04 FE08; FSung-Academic; FS0FF0C0
5F04 FE09; FSung-Academic; FS0FFCF4
5F04 FE0A; FSung-Academic; FS0FFCF5
