500F FE00; FSung-Academic; FS0F690D
500F FE01; FSung-Academic; FS0F695C
500F FE02; FSung-Academic; FS0F6965
500F FE03; FSung-Academic; FS0F6966
500F FE04; FSung-Academic; FS0F6967
500F FE05; FSung-Academic; FS0F6968
500F FE06; FSung-Academic; FS0F6969
500F FE07; FSung-Academic; FS0F696A
500F FE08; FSung-Academic; FS0F696B
