52DE FE00; FSung-Academic; FS0F0EC4
52DE FE01; FSung-Academic; FS0F1005
52DE FE02; FSung-Academic; FS0F2976
52DE FE03; FSung-Academic; FS0F2988
52DE FE04; FSung-Academic; FS0F29B1
52DE FE05; FSung-Academic; FS0F476E
52DE FE06; FSung-Academic; FS0F550C
52DE FE07; FSung-Academic; FS0F550D
52DE FE08; FSung-Academic; FS0F550E
52DE FE09; FSung-Academic; FS0FB5D9
52DE FE0A; FSung-Academic; FS0FC6BD
52DE FE0B; FSung-Academic; FS0FEFDE
52DE FE0C; FSung-Academic; FS10397B
