5152 FE00; FSung-Academic; FS0F07C5
5152 FE01; FSung-Academic; FS0F158D
5152 FE02; FSung-Academic; FS0F20B8
5152 FE03; FSung-Academic; FS0F20B9
5152 FE04; FSung-Academic; FS0F20BD
5152 FE05; FSung-Academic; FS0F3585
5152 FE06; FSung-Academic; FS0F537C
5152 FE07; FSung-Academic; FS0F537D
5152 FE08; FSung-Academic; FS0F537F
5152 FE09; FSung-Academic; FS0F85B8
