6538 FE00; FSung-Academic; FS0F0F12 # Term: FS0F0F12
6538 FE01; FSung-Academic; FS0F1A17 # Term: FS0F1A17
6538 FE02; FSung-Academic; FS0F1A4C # Term: FS0F1A4C
6538 FE03; FSung-Academic; FS0F3E51 # Term: FS0F3E51
6538 FE04; FSung-Academic; FS0F3E6D # Term: FS0F3E6D
6538 FE05; FSung-Academic; FS0F3E88 # Term: FS0F3E88
6538 FE06; FSung-Academic; FS102D1A # Term: FS102D1A
6538 FE07; FSung-Academic; FS102D1B # Term: FS102D1B
6538 FE08; FSung-Academic; FS102D1C # Term: FS102D1C
