5924 FE00; FSung-Academic; FS0F061A # Term: FS0F061A
5924 FE01; FSung-Academic; FS0F63DB # Term: FS0F63DB
5924 FE02; FSung-Academic; FS0F63DC # Term: FS0F63DC
5924 FE03; FSung-Academic; FS0F63DD # Term: FS0F63DD
5924 FE04; FSung-Academic; FS0F63DE # Term: FS0F63DE
5924 FE05; FSung-Academic; FS0F63DF # Term: FS0F63DF
5924 FE06; FSung-Academic; FS0F63E0 # Term: FS0F63E0
5924 FE07; FSung-Academic; FS0F63E1 # Term: FS0F63E1
5924 FE08; FSung-Academic; FS0F63E2 # Term: FS0F63E2
