6557 FE00; FSung-Academic; FS0F58B1 # Term: FS0F58B1
6557 FE01; FSung-Academic; FS0FB772 # Term: FS0FB772
6557 FE02; FSung-Academic; FS0FC6FB # Term: FS0FC6FB
6557 FE03; FSung-Academic; FS0FDF56 # Term: FS0FDF56
6557 FE04; FSung-Academic; FS0FDF58 # Term: FS0FDF58
6557 FE05; FSung-Academic; FS0FDF85 # Term: FS0FDF85
6557 FE06; FSung-Academic; FS10025B # Term: FS10025B
6557 FE07; FSung-Academic; FS10025C # Term: FS10025C
6557 FE08; FSung-Academic; FS10025D # Term: FS10025D
