8DCB FE00; FSung-Academic; FS0F372B # Term: FS0F372B
8DCB FE01; FSung-Academic; FS0F3789 # Term: FS0F3789
8DCB FE02; FSung-Academic; FS0F37AB # Term: FS0F37AB
8DCB FE03; FSung-Academic; FS0FC141 # Term: FS0FC141
8DCB FE04; FSung-Academic; FS0FE0C1 # Term: FS0FE0C1
8DCB FE05; FSung-Academic; FS101E82 # Term: FS101E82
8DCB FE06; FSung-Academic; FS101E83 # Term: FS101E83
8DCB FE07; FSung-Academic; FS101E84 # Term: FS101E84
8DCB FE08; FSung-Academic; FS101E85 # Term: FS101E85
