8B7D FE00; FSung-Academic; FS0F8C9E # Term: FS0F8C9E
8B7D FE01; FSung-Academic; FS0FE408 # Term: FS0FE408
8B7D FE02; FSung-Academic; FS0FE40A # Term: FS0FE40A
8B7D FE03; FSung-Academic; FS0FE46D # Term: FS0FE46D
8B7D FE04; FSung-Academic; FS0FE46E # Term: FS0FE46E
8B7D FE05; FSung-Academic; FS101D02 # Term: FS101D02
8B7D FE06; FSung-Academic; FS101D03 # Term: FS101D03
8B7D FE07; FSung-Academic; FS101D04 # Term: FS101D04
8B7D FE08; FSung-Academic; FS101D05 # Term: FS101D05
