8B92 FE00; FSung-Academic; FS0F8397
8B92 FE01; FSung-Academic; FS0F90F5
8B92 FE02; FSung-Academic; FS0FE3AB
8B92 FE03; FSung-Academic; FS0FE3DA
8B92 FE04; FSung-Academic; FS101D25
8B92 FE05; FSung-Academic; FS101D27
8B92 FE06; FSung-Academic; FS101D28
8B92 FE07; FSung-Academic; FS101D29
8B92 FE08; FSung-Academic; FS101D2A
8B92 FE09; FSung-Academic; FS101D2B
