5807 FE00; FSung-Academic; FS0F053C
5807 FE01; FSung-Academic; FS0F0A6E
5807 FE02; FSung-Academic; FS0F2C22
5807 FE03; FSung-Academic; FS0F2D33
5807 FE04; FSung-Academic; FS0F2D78
5807 FE05; FSung-Academic; FS0F2DC3
5807 FE06; FSung-Academic; FS102AD7
5807 FE07; FSung-Academic; FS102AD8
5807 FE08; FSung-Academic; FS102AD9
5807 FE09; FSung-Academic; FS102ADA
5807 FE0A; FSung-Academic; FS102ADB
5807 FE0B; FSung-Academic; FS102ADC
5807 FE0C; FSung-Academic; FS102ADD
