88F8 FE00; FSung-Academic; FS0F2426
88F8 FE01; FSung-Academic; FS101B25
88F8 FE02; FSung-Academic; FS101B26
88F8 FE03; FSung-Academic; FS101B27
88F8 FE04; FSung-Academic; FS101B28
88F8 FE05; FSung-Academic; FS101B29
88F8 FE06; FSung-Academic; FS101B2A
88F8 FE07; FSung-Academic; FS101B2B
88F8 FE08; FSung-Academic; FS101B2C
